Назва клініки	Сайт	Місто / Регіон	Кількість послуг	
On Clinic	https://onclinic.ua/belaya-cerkov	Біла Церква	47	Малі
Dr.David 	https://drdavid.com.ua/	Біла Церква	16	Малі
Tendo Med	https://tendo-clinic.com/	Біла Церква	34	Малі
ЦСМ	https://klinika-bilacerkva.com.ua/ru/	Біла Церква	114	Середні
Median	https://median.kiev.ua/	Бориспіль	27	Малі
MSmed	https://msmed.ua/	Бориспіль	49	Малі
Добробут	https://dobrobut.com/ua/clinics/c-medicinskij-centr-dla-detej-i-vzroslyh-dobrobut-brovary-3	Бровари	87	Середні
Alpha Medical 	https://alpha-medical.com.ua/	Бровари	92	Середні
Клініка лікаря Долинського 	https://dolinsky.clinic/	Бровари	52	Середні
Довіра	https://mc-dovira.com.ua/en/	Бровари	48	Малі
Амеда	https://ameda.com.ua/filialy-vrachey/brovary	Бровари	104	Середні
Medical Plaza	https://bucha.medicalplaza.ua/	Буча	79	Середні
Sensum Medical 	https://sensummedical.com.ua/	Буча	32	Малі
UBI	https://ubi-clinic.com/	Васильків	33	Малі
Аміда	https://amidaclinic.com/	Вишгород	141	Великі
Універсум Клінік	https://kv.universum.clinic/	Вишневе	163	Великі
DIMEDA	https://dimeda.clinic/	Вишневе	26	Малі
Якість Життя	https://yakistzhyttia.com.ua/	Вишневе	59	Середні
Пульс	https://puls.ua/	Вишневе	108	Середні
МДА 	http://medcentermda.com/	Вишневе	26	Малі
Прайм-плюс 	https://103.kiev.ua/	Вишневе	27	Малі
Васеда	https://www.vaseda.com.ua/	Вишневе	56	Середні
Центр-В 	https://centrv.com.ua/	Вінниця	198	Великі
MED OK	https://medok.vn.ua/	Вінниця	93	Середні
Моє здоров'я	https://mz.vn.ua/	Вінниця	106	Середні
Універсум Клінік	https://universum.clinic/	Вишневе	122	Середні
Імеда	http://imeda.vn.ua/uk/	Вінниця	43	Малі
МЕДИЧНА ЗІРКА	https://www.medzirka.com.ua/viddilennya/vinnitsya	Вінниця	14	Малі
Angels 	https://www.angelsclinic.com.ua/	Вінниця	47	Малі
Статус	https://statusmed.com.ua/	Вінниця	35	Малі
Радамед	http://radamed.com.ua/uk/	Вінниця	13	Малі
МЕДІЛЮКС	https://medilux.ua/	Вінниця	185	Великі
альтамедика	https://altamedica.com.ua/	Вінниця	275	Великі
Хелс Клінік	https://healthclinic.com.ua/	Вінниця	28	Малі
Інномед 	https://innomed.ua/	Вінниця	53	Середні
MedSun	https://vn.medsunclinic.com.ua/	Вінниця	110	Середні
ГОРМОНІЯ	https://gormonia.com/	Вінниця	50	Малі
САЛЮТЕМ	https://www.salutem.ua/	Вінниця	104	Середні
Віоламед 	https://violamed.com.ua/	Вінниця	41	Малі
Омеда	https://omeda.org.ua/	Вінниця	64	Середні
АКСІС 	https://axis-pain.com.ua/	Вінниця	17	Малі
ВінАльфв-Мед	https://vinalfamed.vn.ua/	Вінниця	59	Середні
AMBY	https://amby.com.ua/	Дніпро	125	Середні
On Clinic	https://onclinic.ua/dnipro	Дніпро	75	Середні
Геліос	https://helyos.com.ua/ua	Дніпро	207	Великі
Здорова Нація Плюс	https://zdorovanaciia.com.ua/	Дніпро	35	Малі
NOVA CLINIC	https://nova-clinic.com.ua/	Дніпро	78	Середні
Оксфорд Медікал	https://dnepropetrovsk.oxford-med.com.ua/	Дніпро	115	Середні
Garvis	https://garvis.com.ua/uk/	Дніпро	105	Середні
DailyMedical	https://daily-med.com.ua/uk	Дніпро	180	Великі
Довіра	https://klinikadovira.com/	Дніпро	92	Середні
Дніпровський медико-хірургічний центр ім. Пірогова	https://pirogov-clinic.com.ua/	Дніпро	125	Середні
МЕДІКЛАБ	https://mediclub.com.ua/	Дніпро	44	Малі
MEDICAL CARE	https://medicalcarednepr.com/	Дніпро	43	Малі
СТАРДОКТОР 	https://stardoctor.com.ua/	Дніпро	153	Великі
Клініка доктора Медведева 	https://klinika.medvedev.ua/	Дніпро	238	Великі
IQDoctor	https://iqdoctor.com.ua/	Дніпро	56	Середні
Медлюкс	https://medlux.dp.ua/	Дніпро	43	Малі
VAN Clinic	https://clinic-dbn.info/uk/	Дніпро	120	Середні
МЦАО	https://www.klinica.com.ua/ua/	Дніпро	95	Середні
JMC	https://jmc.org.ua/	Дніпро	175	Великі
МЕДЕКСПЕРТ	https://me.dp.ua/	Дніпро	47	Малі
Здорове покоління 	https://zdorovoepokolenie.dp.ua/uk/	Дніпро	150	Великі
medicum	https://medicum.com.ua/uk	Дніпро	110	Середні
genesis	https://ivf-genesis-dnepr.ua/	Дніпро	85	Середні
Ваш доктор 	https://vashdoctor.dp.ua/	Дніпро	69	Середні
Health Partner	https://health-partner.com.ua/uk/	Дніпро	29	Малі
Medical Plaza	https://medicalplaza.ua/uk	Дніпро	185	Великі
БАЙЕР	https://baer.dp.ua/	Дніпро	40	Малі
Евромед Плюс	https://euromed.plus/	Житомир 	51	Середні
Оксфорд Медікал	https://zhitomir.oxford-med.com.ua/ua/	Житомир 	164	Великі
viramed	https://www.viramed.com.ua/	Житомир 	31	Малі
Асклепій	https://asklepiy.com/	Житомир 	279	Великі
Хілінг	https://healing.zt.ua/	Житомир 	52	Середні
Medibor 	https://medibor.com/ua/	Житомир 	288	Великі
Нікамед 	https://nikamed.com.ua/ua	Житомир 	30	Малі
Актив - Мед	https://active-med.com.ua/	Житомир 	54	Середні
3D 	https://3d-med.com.ua/	Житомир 	34	Малі
VITACENTER	https://vitacenter.com.ua/	Запоріжжя	141	Великі
